run_id,scenario,step_index,agent_id,question,subgoal,action,tool_name,tool_args,observation,response,evidence,progress,prompt_tokens,completion_tokens,latency_ms,cost_usd,ground_truth_labels,anomaly_onset_step
near-000,near_duplicate_loop,0,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME Q4 earnings,news_search,{'query': 'ACME Q4 earnings'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,331,68,1149.3305233033075,0.0009044999999999999,['redundant_search_loop'],1.0
near-000,near_duplicate_loop,1,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME fourth quarter earnings,news_search,{'query': 'ACME fourth quarter earnings'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,304,130,912.3872923073015,0.0012360000000000001,['redundant_search_loop'],1.0
near-000,near_duplicate_loop,2,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME Q4 financial results,news_search,{'query': 'ACME Q4 financial results'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,275,66,723.3333165673512,0.0008085,['redundant_search_loop'],1.0
near-000,near_duplicate_loop,3,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: latest ACME fourth-quarter earnings,news_search,{'query': 'latest ACME fourth-quarter earnings'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,518,132,544.6784518059932,0.001569,['redundant_search_loop'],1.0
near-000,near_duplicate_loop,4,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: ACME earnings report for Q4,news_search,{'query': 'ACME earnings report for Q4'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,361,124,910.1534334943426,0.0012855,['redundant_search_loop'],1.0
near-000,near_duplicate_loop,5,research-agent,Complete the task efficiently and correctly,Find ACME Q4 earnings news,Search news using query: Q4 results released by ACME,news_search,{'query': 'Q4 results released by ACME'},The same two earnings articles were returned,The query returned the same earnings coverage.,,0.25,489,130,778.7173586545164,0.0015135,['redundant_search_loop'],1.0
error-000,repeated_error_loop,0,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Fetch the transcript directly,fetch_transcript,"{'video_id': 'V-42', 'attempt': 0}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,263,75,1169.2696373390509,0.0008445,['repeated_error_response'],1.0
error-000,repeated_error_loop,1,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Retry the transcript endpoint with a longer timeout,fetch_transcript,"{'video_id': 'V-42', 'attempt': 1}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,434,90,664.5959348249569,0.001191,['repeated_error_response'],1.0
error-000,repeated_error_loop,2,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Request transcript metadata first,metadata_api,"{'video_id': 'V-42', 'attempt': 2}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,432,68,606.2536343435376,0.001056,['repeated_error_response'],1.0
error-000,repeated_error_loop,3,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Use the archived transcript endpoint,archive_api,"{'video_id': 'V-42', 'attempt': 3}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,309,100,1308.1697607031376,0.0010635,['repeated_error_response'],1.0
error-000,repeated_error_loop,4,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Ask the transcript proxy service,proxy_api,"{'video_id': 'V-42', 'attempt': 4}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,395,60,1198.6505616252507,0.0009525,['repeated_error_response'],1.0
error-000,repeated_error_loop,5,research-agent,Complete the task efficiently and correctly,Retrieve a video transcript,Retry through the backup route,backup_api,"{'video_id': 'V-42', 'attempt': 5}",HTTP 500: transcript service unavailable,Error: transcript service unavailable (HTTP 500).,,0.1,323,103,593.2841842129661,0.0011025000000000002,['repeated_error_response'],1.0
hallucination-000,hallucination,0,research-agent,What is the capital of France?,Answer using retrieved evidence,Retrieve evidence for the capital of France,knowledge_lookup,{'country': 'France'},Evidence: The capital of France is Paris.,I found a reference answer.,The capital of France is Paris.,0.6,410,135,1095.2233696987487,0.001425,[],
hallucination-000,hallucination,1,research-agent,What is the capital of France?,Answer using retrieved evidence,Synthesize the factual answer,answer_generator,{'use_evidence': True},Evidence remains: The capital of France is Paris.,The capital of France is Berlin.,The capital of France is Paris.,0.6,445,128,698.8283889386937,0.0014355000000000001,['hallucination'],1.0
hallucination-000,hallucination,2,research-agent,What is the capital of France?,Answer using retrieved evidence,Return the final answer,finalizer,{},No additional evidence was collected,Berlin is the capital of France.,The capital of France is Paris.,0.6,295,60,1134.9748862679703,0.0008025,['hallucination'],1.0
semantic-000,semantic_plan_loop,0,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Create a welcome email, guide the user through a product tour, then send a survey",planner,{'plan_version': 0},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,408,65,1315.4454805440866,0.001002,['semantic_repeat'],1.0
semantic-000,semantic_plan_loop,1,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Start with an introductory message, provide an in-app walkthrough, and request feedback afterward",planner,{'plan_version': 1},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,311,103,778.5154508923856,0.0010845,['semantic_repeat'],1.0
semantic-000,semantic_plan_loop,2,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Greet the customer, demonstrate the main product features, and collect opinions in a questionnaire",planner,{'plan_version': 2},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,446,75,864.2682994187008,0.001119,['semantic_repeat'],1.0
semantic-000,semantic_plan_loop,3,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Send an onboarding note, show a guided feature demonstration, and finish with a feedback form",planner,{'plan_version': 3},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,367,89,1172.6928915164526,0.0010845,['semantic_repeat'],1.0
semantic-000,semantic_plan_loop,4,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Introduce the service by email, lead a product walkthrough, and ask the new user for feedback",planner,{'plan_version': 4},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,296,132,1110.529808023266,0.0012360000000000001,['semantic_repeat'],1.0
semantic-000,semantic_plan_loop,5,research-agent,Complete the task efficiently and correctly,Design a three-stage customer onboarding journey,"Welcome the account owner, explain the product interactively, and follow up with a satisfaction survey",planner,{'plan_version': 5},Critic rejected the plan without actionable feedback,I will generate another onboarding plan.,,0.15,385,75,949.9019970215377,0.0010275,['semantic_repeat'],1.0
healthy_polling-000,healthy_async_polling,0,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 0}",Job status: queued,The export job is queued.,,0.0,398,126,724.2421117923502,0.001353,[],
healthy_polling-000,healthy_async_polling,1,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 1}",Job status: running 20%,The export job is running 20%.,,0.25,426,62,733.014706926617,0.001011,[],
healthy_polling-000,healthy_async_polling,2,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 2}",Job status: running 55%,The export job is running 55%.,,0.5,276,95,893.083251930766,0.000984,[],
healthy_polling-000,healthy_async_polling,3,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 3}",Job status: running 90%,The export job is running 90%.,,0.75,293,82,1369.2165954925567,0.0009315,[],
healthy_polling-000,healthy_async_polling,4,research-agent,Complete the task efficiently and correctly,Wait for a legitimate asynchronous job to finish,Poll the asynchronous export job with backoff,job_status,"{'job_id': 'J-100', 'poll': 4}",Job status: completed,The export job is completed.,,1.0,421,82,1129.5579587242385,0.0011235,[],
exact-000,exact_loop,0,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,462,113,652.8705791111183,0.001371,['repeated_action'],1.0
exact-000,exact_loop,1,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,331,86,1212.8397533451941,0.0010125,['repeated_action'],1.0
exact-000,exact_loop,2,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,394,129,918.4434593839592,0.0013650000000000001,['repeated_action'],1.0
exact-000,exact_loop,3,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,464,101,723.9683060162735,0.001302,['repeated_action'],1.0
exact-000,exact_loop,4,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,330,120,978.9697264473568,0.001215,['repeated_action'],1.0
exact-000,exact_loop,5,research-agent,Complete the task efficiently and correctly,Retrieve ACME's annual report,Search the document repository for the annual report,search_docs,{'query': 'ACME annual report 2025'},Returned annual_report_2025.pdf,I found the same annual report and will search again.,,0.2,284,69,662.1424269938827,0.00084,['repeated_action'],1.0
healthy_code-000,healthy_code_repair,0,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 8 remain,run_tests,"{'suite': 'unit', 'iteration': 0}",Test run completed: 8 failures remain,Progress made; 8 tests still fail.,,0.0,341,109,1074.6603985807355,0.0011655,[],
healthy_code-000,healthy_code_repair,1,research-agent,Complete the task efficiently and correctly,Repair code until all tests pass,Modify implementation based on test failures; 6 remain,run_tests,"{'suite': 'unit', 'iteration': 1}",Test run completed: 6 failures remain,Progress made; 6 tests still fail.,,0.25,457,103,1074.1762383758492,0.0013035,[],
