run_id,scenario,truth_label,truth_positive,predicted_label,predicted_positive,detected_level,detection_step,detection_delay,baseline_tokens,protected_tokens,baseline_tool_calls,protected_tool_calls,baseline_latency_ms,protected_latency_ms,baseline_cost_usd,protected_cost_usd,detector_overhead_ms,detector_cost_usd,baseline_success,protected_success
near-000,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2928,923,6,2,5018.600376132812,2242.846690610609,0.007317000000000001,0.0023205,1.128875,0.00018,0,1
error-000,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2652,952,6,2,5540.223713048899,2015.3888221640077,0.00621,0.0022155,1.52325,0.00018,0,1
hallucination-000,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1473,1208,3,2,2929.0266449054125,1975.2669246374423,0.0036630000000000005,0.0030405000000000002,1.215166,0.00018,0,1
semantic-000,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2752,977,6,2,6191.3539274164295,2277.0493064364723,0.0065535,0.0022665,3.088375,0.00018,0,1
healthy_polling-000,healthy_async_polling,healthy,False,healthy,False,0,,,2261,2261,5,5,4849.114624866528,4853.795083866528,0.005403,0.005403,4.680459,0.0,1,1
exact-000,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2883,1082,6,2,5149.234251297785,2047.1332074563124,0.0071055,0.0025635000000000002,1.422875,0.00018,0,1
healthy_code-000,healthy_code_repair,healthy,False,healthy,False,0,,,3016,3016,6,6,5622.348980064712,5627.381230064712,0.007116,0.007116,5.0322499999999994,0.0,1,1
error-001,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2567,1061,6,2,6295.548654892929,2497.0518827073906,0.00642,0.002631,1.574542,0.00018,0,1
exact-001,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2866,948,6,2,7275.125399887689,2814.23737538114,0.0070574999999999995,0.002538,1.442084,0.00018,0,1
hallucination-001,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1458,1041,3,2,2014.9162500559023,1471.3264575159521,0.003528,0.0023625,1.2123750000000002,0.00018,0,1
near-001,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2925,874,6,2,5514.4644469191035,2075.287483430965,0.006912,0.002229,1.073958,0.00018,0,1
semantic-001,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,3047,1230,6,2,5422.1029153173395,2243.144731391297,0.006784500000000001,0.0026145,2.987583,0.00018,0,1
healthy_polling-001,healthy_async_polling,healthy,False,healthy,False,0,,,2200,2200,5,5,5662.217578859799,5667.000161859799,0.0048705,0.0048705,4.782583,0.0,1,1
healthy_code-001,healthy_code_repair,healthy,False,healthy,False,0,,,2898,2898,6,6,5495.910161851543,5500.948244851544,0.006534,0.006534,5.038082999999999,0.0,1,1
healthy_code-002,healthy_code_repair,healthy,False,healthy,False,0,,,2842,2842,6,6,5386.119607832946,5391.200606832946,0.0068685,0.0068685,5.080999,0.0,1,1
semantic-002,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2796,863,6,2,5559.034874383984,2074.5253045258055,0.0062415000000000005,0.00201,3.100916,0.00018,0,1
exact-002,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2812,1026,6,2,5539.183589909322,2414.832651079858,0.007224,0.0027450000000000005,1.426833,0.00018,0,1
near-002,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2685,956,6,2,5044.035402638217,2265.289199496471,0.006399,0.0023114999999999998,1.070041,0.00018,0,1
healthy_polling-002,healthy_async_polling,healthy,False,healthy,False,0,,,2548,2548,5,5,4642.503330327134,4647.1722033271335,0.005937,0.005937,4.6688730000000005,0.0,1,1
error-002,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,3095,1259,6,2,6464.31505108766,2740.7662847129295,0.0075135,0.0031035,1.506834,0.00018,0,1
hallucination-002,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1595,1091,3,2,2840.5453466515114,2217.919132026613,0.0036750000000000003,0.0025185000000000003,1.201292,0.00018,0,1
hallucination-003,hallucination,hallucination,True,hallucination,True,5,1.0,0.0,1572,1036,3,2,2777.618596873398,1806.8609967983532,0.0036765,0.0024405000000000004,1.1942499999999998,0.00018,0,1
error-003,repeated_error_loop,repeated_error_response,True,repeated_error_response,True,4,1.0,0.0,2945,1047,6,2,5945.891192097651,1868.708739598826,0.006699,0.0022229999999999997,1.492458,0.00018,0,1
semantic-003,semantic_plan_loop,semantic_repeat,True,semantic_repeat,True,3,1.0,0.0,2987,1072,6,2,5183.709820792226,1747.7899415202294,0.0070275,0.002292,2.984541,0.00018,0,1
exact-003,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,3232,1204,6,2,5779.2465293067835,1969.732551228654,0.0079575,0.0028770000000000002,1.449209,0.00018,0,1
healthy_code-003,healthy_code_repair,healthy,False,healthy,False,0,,,2805,2805,6,6,5385.2345564681455,5390.266724468145,0.006606,0.006606,5.032168,0.0,1,1
near-003,near_duplicate_loop,redundant_search_loop,True,redundant_search_loop,True,2,1.0,0.0,2667,963,6,2,6565.475390727237,2066.2892824075852,0.0062325,0.002466,1.088375,0.00018,0,1
healthy_polling-003,healthy_async_polling,healthy,False,healthy,False,0,,,2777,2777,5,5,5676.540898737603,5681.207773737603,0.0065505,0.0065505,4.666875,0.0,1,1
exact-004,exact_loop,repeated_action,True,repeated_action,True,1,1.0,0.0,2964,1282,6,2,5494.743312151742,2107.505125575891,0.0068850000000000005,0.0028635,1.4097499999999998,0.00018,0,1
healthy_code-004,healthy_code_repair,healthy,False,healthy,False,0,,,3002,3002,6,6,5355.478267383638,5360.446557383638,0.0074955,0.0074955,4.96829,0.0,1,1
